,char1,char2,Part,word_count,pos,neu,neg,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,char1x,char1y,char2x,char2y
64,Dolly,Kitty,7,94,0.089,0.759,0.153,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749,-0.2225,-0.9749,-0.2225
65,Stiva,Vronsky,7,110,0.283,0.717,0.0,0.0,0.01818181818181818,0.0,0.0,0.03636363636363636,0.0,0.03636363636363636,0.0,0.01818181818181818,0.02727272727272727,-0.7818,0.6235,0.4339,-0.901
66,Kitty,Vronsky,7,391,0.18,0.801,0.019,0.0025575447570332483,0.0025575447570332483,0.0025575447570332483,0.0,0.015345268542199489,0.01278772378516624,0.05370843989769821,0.0025575447570332483,0.010230179028132993,0.04092071611253197,-0.9749,-0.2225,0.4339,-0.901
67,Dolly,Stiva,7,47,0.0,0.95,0.05,0.02127659574468085,0.0425531914893617,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.9749,-0.2225,-0.7818,0.6235
68,Kitty,Levin,7,4517,0.128,0.775,0.097,0.009519592649988931,0.016603940668585344,0.0046491033872038965,0.011290679654638034,0.01372592428603055,0.025016603940668587,0.031658180208102724,0.010183750276732344,0.008855435023245517,0.016161168917423068,-0.9749,-0.2225,0.7818,0.6235
69,Levin,Stiva,7,1280,0.101,0.842,0.058,0.00390625,0.01328125,0.003125,0.0046875,0.0125,0.01015625,0.02421875,0.00546875,0.00703125,0.0203125,0.7818,0.6235,-0.7818,0.6235
70,Anna,Dolly,7,466,0.063,0.824,0.113,0.006437768240343348,0.02145922746781116,0.002145922746781116,0.002145922746781116,0.01072961373390558,0.01072961373390558,0.023605150214592276,0.004291845493562232,0.012875536480686695,0.017167381974248927,0.0,1.0,0.9749,-0.2225
71,Dolly,Stiva,8,166,0.171,0.703,0.126,0.012048192771084338,0.018072289156626505,0.012048192771084338,0.018072289156626505,0.018072289156626505,0.018072289156626505,0.030120481927710843,0.018072289156626505,0.006024096385542169,0.018072289156626505,0.9749,-0.2225,-0.7818,0.6235
72,Kitty,Levin,8,1552,0.123,0.821,0.056,0.007731958762886598,0.019329896907216496,0.0032216494845360823,0.009664948453608248,0.02190721649484536,0.019329896907216496,0.03479381443298969,0.01288659793814433,0.015463917525773196,0.024484536082474227,-0.9749,-0.2225,0.7818,0.6235
73,Dolly,Levin,8,163,0.019,0.874,0.107,0.0,0.03067484662576687,0.006134969325153374,0.012269938650306749,0.012269938650306749,0.03067484662576687,0.03680981595092025,0.03067484662576687,0.018404907975460124,0.012269938650306749,0.9749,-0.2225,0.7818,0.6235
74,Stiva,Vronsky,8,94,0.118,0.718,0.163,0.0,0.010638297872340425,0.0,0.010638297872340425,0.02127659574468085,0.0425531914893617,0.031914893617021274,0.031914893617021274,0.010638297872340425,0.031914893617021274,-0.7818,0.6235,0.4339,-0.901
